category,name,status,connectUrl
"Design & Creative","99designs US",partner-network,"(id unknown — search in store)"
"Design & Creative","Designer Plants USA US",partner-network,"(id unknown — search in store)"
"Design & Creative","Fashdes | Fashion Designers Platform US",partner-network,"(id unknown — search in store)"
"Design & Creative","kontedesign.com IT",partner-network,"(id unknown — search in store)"
"Design & Creative","Manhattan Home Design US",partner-network,"(id unknown — search in store)"
"Design & Creative","Massold Design DE",partner-network,"(id unknown — search in store)"
"Design & Creative","Shimoda Designs",partner-network,"(id unknown — search in store)"
"Development","A2 Hosting US",partner-network,"(id unknown — search in store)"
"Development","AliExpress WW",active,"https://store.admitad.com/en/webmaster/websites/2951457/ad/6115/"
"Development","AOMEI & MultCloud Performance Marketing Prgm AD",partner-network,"(id unknown — search in store)"
"Development","Clawcloud (Singapore) Private Limited AD",partner-network,"(id unknown — search in store)"
"Development","Clevguard Software",partner-network,"(id unknown — search in store)"
"Development","Cloudfield",partner-network,"(id unknown — search in store)"
"Development","CLOUDWALKER SLIPPERS US",partner-network,"(id unknown — search in store)"
"Development","Cloudways US 2",partner-network,"(id unknown — search in store)"
"Development","Crazy Domains_WW AU",partner-network,"(id unknown — search in store)"
"Development","Domain US",partner-network,"(id unknown — search in store)"
"Development","Domainkeskus",partner-network,"(id unknown — search in store)"
"Development","EndNote | Reference Management Software",partner-network,"(id unknown — search in store)"
"Development","Hostinger - Hospedagem de site AL",partner-network,"(id unknown — search in store)"
"Development","InMotion Hosting",partner-network,"(id unknown — search in store)"
"Development","MindManager | Mind Mapping Software",partner-network,"(id unknown — search in store)"
"Development","Miss Hosting UK",partner-network,"(id unknown — search in store)"
"Development","MissHosting FI",partner-network,"(id unknown — search in store)"
"Development","Misshosting SE",partner-network,"(id unknown — search in store)"
"Development","O&O Software US",partner-network,"(id unknown — search in store)"
"Development","Profesional Hosting",partner-network,"(id unknown — search in store)"
"Development","RecCloud",partner-network,"(id unknown — search in store)"
"Development","Sage Software - sage.com US",partner-network,"(id unknown — search in store)"
"Development","ScalaHosting US",partner-network,"(id unknown — search in store)"
"Development","Survio | Online Survey Software",partner-network,"(id unknown — search in store)"
"Development","The Bayesian School of Technological Development Ltd [bstd]",partner-network,"(id unknown — search in store)"
"Development","The Software Kings_US_CPS (Reporting Realtime) US",partner-network,"(id unknown — search in store)"
"Development","Zhuhai Kingsoft Office Software Co.Ltd - wps.com US",partner-network,"(id unknown — search in store)"
